,lot_area,overall_qual,total_bsmt_sf,heating_qc,electrical,gr_liv_area,full_bath,kitchen_qual,functional,fireplaces,fireplace_qu,garage_area,saleprice,house_age,lot_is_reg_inside,land_is_gtl_lvl,location_is_normal,neighborhood_zone_blmngtn_rm,neighborhood_zone_blueste_rm,neighborhood_zone_brdale_rm,neighborhood_zone_brkside_rl,neighborhood_zone_brkside_rm,neighborhood_zone_clearcr_rl,neighborhood_zone_collgcr_rl,neighborhood_zone_collgcr_rm,neighborhood_zone_crawfor_rl,neighborhood_zone_crawfor_rm,neighborhood_zone_edwards_rl,neighborhood_zone_edwards_rm,neighborhood_zone_gilbert_rl,neighborhood_zone_greens_rl,neighborhood_zone_grnhill_rm,neighborhood_zone_idotrr_rm,neighborhood_zone_meadowv_rm,neighborhood_zone_mitchel_rl,neighborhood_zone_mitchel_rm,neighborhood_zone_names_rl,neighborhood_zone_npkvill_rl,neighborhood_zone_nwames_rl,neighborhood_zone_noridge_rl,neighborhood_zone_nridght_rl,neighborhood_zone_nridght_rm,neighborhood_zone_oldtown_rl,neighborhood_zone_oldtown_rm,neighborhood_zone_swisu_rl,neighborhood_zone_sawyerw_rl,neighborhood_zone_sawyer_rl,neighborhood_zone_sawyer_rm,neighborhood_zone_somerst_rl,neighborhood_zone_stonebr_rl,neighborhood_zone_timber_rl,neighborhood_zone_veenker_rl,hse_style_type_1.5fin_sing_fam,hse_style_type_1.5fin_twnhse,hse_style_type_1.5unf_sing_fam,hse_style_type_1story_duplex,hse_style_type_1story_sing_fam,hse_style_type_1story_twnhse,hse_style_type_2.5fin_sing_fam,hse_style_type_2.5unf_duplex,hse_style_type_2.5unf_sing_fam,hse_style_type_2story_duplex,hse_style_type_2story_sing_fam,hse_style_type_2story_twnhse,hse_style_type_sfoyer_duplex,hse_style_type_sfoyer_sing_fam,hse_style_type_sfoyer_twnhse,hse_style_type_slvl_duplex,hse_style_type_slvl_sing_fam,hse_style_type_slvl_twnhse,roof_is_compshg_gable,exter_qual_cond,bsmt_qual_cond,garage_qual_cond,is_paved,has_ctrl_aircon,has_paved_drive,has_fence,has_wood_deck,has_open_porch
0,13517,6,725.0,5,5,1479,2,4,8,0,0,475.0,130500,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.0,3.0,1,1,1,0,1,0
1,11492,7,913.0,5,5,2122,2,4,8,1,3,559.0,220000,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,0
2,7922,5,1057.0,3,5,1057,1,4,8,0,0,246.0,109000,68,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.0,3.0,1,1,1,0,1,0
3,9802,5,384.0,4,5,1444,2,3,8,0,0,400.0,174000,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.5,3.0,1,1,1,0,0,1
4,14235,6,676.0,3,5,1445,2,3,8,0,0,484.0,138500,121,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,0,0,1,0
5,16492,6,1517.0,5,5,1888,2,4,5,1,4,578.0,190000,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.0,3.0,1,1,1,0,1,1
6,3675,6,547.0,4,5,1072,2,3,8,0,0,525.0,140000,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.0,3.5,3.0,1,1,1,0,1,0
7,12160,5,1188.0,2,5,1188,1,3,8,0,0,531.0,142000,62,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,1,1,1
9,11606,5,1040.0,3,5,2080,1,2,8,2,3,504.0,135000,52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.5,3.0,1,1,1,0,0,1
10,1680,6,483.0,3,5,987,1,3,8,0,0,264.0,85400,50,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,1,1
11,7488,7,1208.0,5,5,1208,2,4,8,0,0,632.0,183600,16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
14,9627,7,1351.0,5,5,1361,2,4,8,0,0,610.0,193000,14,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,0
15,10114,5,1430.0,5,5,1430,2,4,8,0,0,624.0,173500,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,4.0,3.0,1,1,1,0,1,1
17,8816,5,1121.0,3,5,1121,1,3,8,0,0,480.0,139000,58,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,1,0
18,8197,6,660.0,5,5,1285,1,3,8,1,3,528.0,143500,44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,0,1
20,8724,5,894.0,4,5,894,1,3,8,1,1,450.0,129000,53,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.5,3.0,1,1,1,0,1,1
21,5664,8,1501.0,5,5,1659,2,5,8,1,5,499.0,278000,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
22,12867,8,1209.0,5,5,2253,2,5,8,1,4,575.0,344133,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,4.0,3.0,1,1,1,0,0,0
25,10573,6,1453.0,5,5,1453,2,3,8,1,3,530.0,187500,60,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,1,1,0
26,8450,5,894.0,5,5,894,1,3,8,1,4,336.0,138500,56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.0,3.0,1,1,1,1,0,0
30,9600,8,2524.0,3,5,2524,2,4,8,1,4,542.0,278000,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,3.5,3.0,1,1,1,1,0,0
31,11435,8,792.0,2,5,1517,1,4,8,2,4,400.0,230000,92,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.5,3.0,1,1,1,0,1,1
32,9549,8,1494.0,5,5,1494,1,5,8,1,4,481.0,270000,26,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,1,1,1,0,1,0
33,10950,6,948.0,3,5,948,1,3,8,0,0,410.0,125000,69,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,0,0,1,0
34,10637,8,1705.0,5,5,1718,2,4,8,1,4,826.0,297000,14,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,4.0,3.0,1,1,1,0,0,0
35,9000,6,160.0,2,5,1142,1,3,8,1,4,384.0,113500,63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.5,3.0,1,1,1,0,1,0
36,2665,5,757.0,5,5,1475,2,3,8,1,3,336.0,127000,44,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,0,0
37,11751,6,1844.0,5,5,1844,2,3,8,1,3,546.0,190000,44,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.5,3.0,1,1,1,1,1,0
38,9600,7,1242.0,2,5,1242,1,3,8,1,3,528.0,175500,48,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,0,1,1
39,8428,5,990.0,5,5,990,1,3,8,0,0,384.0,146000,27,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,4.0,3.0,1,1,1,0,0,1
40,9937,5,1256.0,4,5,1256,1,3,8,0,0,276.0,147500,56,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.0,3.0,1,1,1,0,0,0
42,9101,5,1097.0,5,5,1110,1,4,8,1,3,602.0,165500,43,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
44,11200,5,1040.0,5,5,1040,1,3,8,0,0,384.0,129500,56,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,0,1,1
45,9670,8,608.0,3,5,1873,1,3,8,2,4,786.0,257076,86,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,2.5,2.5,1,1,1,0,1,1
47,7200,7,776.0,3,5,1502,1,3,8,1,4,270.0,149000,90,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.5,3.5,3.0,1,1,0,1,1,1
48,9920,5,1056.0,3,5,1063,1,3,8,0,0,280.0,128000,67,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,1,1
49,2448,7,764.0,5,5,1626,2,4,8,0,0,474.0,155000,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,0
51,7804,4,1122.0,3,5,1981,2,4,6,2,3,576.0,135000,93,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,0,0
53,1476,4,546.0,5,5,1092,1,3,8,0,0,0.0,76000,51,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.0,3.0,0.0,1,1,1,0,0,0
54,10170,6,216.0,3,5,1575,1,4,8,1,4,400.0,155000,70,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,0,1,1
55,9364,6,663.0,3,5,1352,1,3,8,0,0,299.0,158000,52,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,0,0
57,9888,5,936.0,3,4,936,1,3,8,0,0,240.0,121000,67,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.0,3.0,1,1,1,1,1,1
58,7942,6,1040.0,3,3,1040,1,3,8,0,0,293.0,136000,68,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,1,1,1
59,15038,6,916.0,4,5,1636,2,3,8,1,3,386.0,173000,25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.5,3.0,1,1,1,0,0,0
60,11764,8,1152.0,5,5,2270,2,4,8,1,4,671.0,290000,22,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
63,7308,5,936.0,4,4,1740,1,5,8,1,4,225.0,122250,101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,3.0,2.0,1,0,0,0,1,1
64,8750,5,1382.0,4,4,1382,1,4,8,0,0,350.0,153000,66,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,1,0,1
65,8402,5,1120.0,5,5,1120,1,3,8,0,0,0.0,147000,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.5,0.0,1,1,1,0,1,0
66,4000,7,531.0,3,5,1098,1,3,8,1,4,216.0,148500,91,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.0,3.5,3.0,1,1,1,1,1,1
67,3363,7,976.0,5,5,1708,2,4,4,0,0,380.0,130000,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,0
68,13615,9,1802.0,5,5,1802,2,5,8,1,4,843.0,372000,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.0,3.0,1,1,1,0,0,0
69,3013,7,1362.0,5,5,1506,2,4,8,1,4,440.0,213490,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
70,17485,7,1508.0,5,5,1508,1,4,8,2,3,572.0,308030,12,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,1
72,8910,6,655.0,5,5,1194,1,3,8,1,2,539.0,159500,62,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,1,1,1,0,1,1
73,2522,7,970.0,5,5,1709,2,4,4,0,0,380.0,137500,17,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,0
74,8688,7,1616.0,5,5,1616,2,4,8,0,0,834.0,232000,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,0,0
75,6291,6,768.0,3,5,768,1,3,8,0,0,440.0,93850,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,3.0,3.0,0,1,0,0,1,1
76,17529,5,872.0,2,3,872,1,2,5,1,4,322.0,105000,97,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,2.0,1,0,0,0,1,1
77,6324,4,520.0,2,5,520,1,2,8,0,0,240.0,68500,94,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.0,3.0,2.5,1,0,1,0,0,1
78,11600,5,1105.0,3,4,2274,2,3,8,0,0,480.0,154300,61,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0,3.0,3.0,1,1,1,0,1,1
79,7288,5,936.0,5,5,1601,2,3,8,0,0,0.0,129850,96,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,2.0,0.0,1,1,0,0,1,1
83,9000,4,864.0,4,5,864,1,3,8,0,0,576.0,130000,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.0,3.0,1,1,1,1,0,1
84,4500,6,1189.0,5,5,1189,2,3,8,0,0,392.0,160500,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,3.0,1,1,1,0,1,0
85,6373,9,1666.0,5,5,1666,2,4,8,1,4,575.0,310090,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,4.5,3.0,1,1,1,0,0,0
86,10083,7,1176.0,5,5,1200,2,4,8,0,0,555.0,184900,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,3.0,1,1,1,0,1,0
87,13300,5,928.0,3,5,928,1,3,8,0,0,252.0,132000,65,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.5,3.0,1,1,1,0,0,1
90,11104,6,1427.0,4,5,1427,2,3,8,0,0,516.0,183000,52,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.0,3.0,3.0,1,1,1,0,1,1
